dataset,category,image_index,map,nss,auc_judd,sauc,cc,sim,kl
MIT1003,stimuli,0,uniform,0.0,0.5,0.5,0.0,0.3994734288716471,1.1060024364918695
MIT1003,stimuli,0,center_prior,0.8815380993121767,0.7502780443739515,0.42945378151260516,0.470841192757685,0.48563408877880515,0.8312521777445603
MIT1003,stimuli,0,gradient_only,0.5889120933067906,0.6695883499533222,0.584959395522915,0.28340392980281404,0.4459187529449786,0.9411914578708254
MIT1003,stimuli,0,full_awmb,0.8012731290221441,0.7194861723181791,0.5587140738648401,0.4005790425290137,0.47796084130167277,0.8247819506521086
MIT1003,stimuli,0,detail_retention,0.7600522568658656,0.7194861723181791,0.5558060871407386,0.3919874176007927,0.5026106404146815,0.8161837961238386
MIT1003,stimuli,1,uniform,0.0,0.5,0.5,0.0,0.4072689329814471,1.064829523149101
MIT1003,stimuli,1,center_prior,1.024717255528836,0.7897498937765786,0.5077706611570247,0.584178950419624,0.504287722539827,0.7361704181473653
MIT1003,stimuli,1,gradient_only,0.7456718828668422,0.7026223566710125,0.6453570247933884,0.353047148722157,0.4775318643967215,0.9096855666972563
MIT1003,stimuli,1,full_awmb,1.053736290957999,0.787027850510054,0.6377231404958678,0.5431065494899705,0.5050736578934758,0.7620235954100091
MIT1003,stimuli,1,detail_retention,0.9001617387030139,0.787027850510054,0.6351206611570247,0.4728502269752138,0.5092696457659243,0.7357666483349757
MIT1003,stimuli,2,uniform,0.0,0.5,0.5,0.0,0.33248663751661983,1.376305688260738
MIT1003,stimuli,2,center_prior,1.2924705497115632,0.8618933495388929,0.6018798185941043,0.5778575468038057,0.4394349645980212,0.9602282366310015
MIT1003,stimuli,2,gradient_only,0.12382084060496269,0.5471604607172101,0.5463183673469388,0.05614119643959643,0.32104983988971536,1.4731363488697413
MIT1003,stimuli,2,full_awmb,0.6029295121740404,0.6746937444067519,0.5642448979591836,0.27028862862290276,0.3781117358707655,1.169448865265136
MIT1003,stimuli,2,detail_retention,0.6638142072662918,0.6746940297158986,0.5729741496598639,0.2966285049750317,0.3966727932368016,1.0939570427546799
MIT1003,stimuli,3,uniform,0.0,0.5,0.5,0.0,0.3170245651079709,1.530480754690686
MIT1003,stimuli,3,center_prior,1.1140223377464125,0.815651267496654,0.5058924452133795,0.41475043404804995,0.4042678561106594,1.166428043729028
MIT1003,stimuli,3,gradient_only,0.6995667802503143,0.7306593104949772,0.6171203383314109,0.2086805864717289,0.3588748564285858,1.3293050952231418
MIT1003,stimuli,3,full_awmb,0.9727938803850718,0.7847282100922008,0.6158756247597078,0.3183888807280155,0.38663507756387044,1.2077019073905508
MIT1003,stimuli,3,detail_retention,0.9450248391099795,0.7847281121978688,0.6160419069588619,0.3224535613882242,0.4091978227704791,1.1195318112933057
MIT1003,stimuli,4,uniform,0.0,0.5,0.5,0.0,0.3490838033478265,1.2883140969434312
MIT1003,stimuli,4,center_prior,0.8653873480721412,0.7537818936616572,0.4163678840877915,0.4125761017068981,0.43725899334315654,1.0051174318116143
MIT1003,stimuli,4,gradient_only,0.9318568919868045,0.7557704854730899,0.6789086076817558,0.3958677965006847,0.438018874630142,1.00116435680762
MIT1003,stimuli,4,full_awmb,1.060665284791847,0.8030148442562559,0.6560296639231824,0.46567873696889406,0.4437333333786927,0.9733148540016222
MIT1003,stimuli,4,detail_retention,0.7797320234204214,0.8030149367230937,0.6528390775034293,0.361964833226451,0.4274406677192171,1.0133167469243318
MIT1003,stimuli,5,uniform,0.0,0.5,0.5,0.0,0.288704693276874,1.5369865569930323
MIT1003,stimuli,5,center_prior,1.318705793964709,0.8719416737612375,0.5902773167962269,0.555002644770028,0.3854007818837325,1.1066034729613596
MIT1003,stimuli,5,gradient_only,1.0015122912169905,0.77207099063106,0.6852755699187703,0.3507044181104738,0.39651638121745075,1.1168224047282662
MIT1003,stimuli,5,full_awmb,1.2748724051620515,0.8253043510236248,0.6944672023757532,0.4773881681831658,0.40247449501133475,1.048069565103806
MIT1003,stimuli,5,detail_retention,1.15378640908806,0.8253043510236248,0.6899196436369988,0.481825640340829,0.44507859876171946,0.8863894943321994
MIT1003,stimuli,6,uniform,0.0,0.5,0.5,0.0,0.2751655142139601,1.645183297967704
MIT1003,stimuli,6,center_prior,1.2902360010671792,0.8514489975237639,0.643279,0.4754525794284132,0.354075592039429,1.244510097784409
MIT1003,stimuli,6,gradient_only,1.6445745621747792,0.8655424754373352,0.7441659999999999,0.5020471663213614,0.42713034884322776,1.0935443846075412
MIT1003,stimuli,6,full_awmb,1.8161369076600933,0.892997543733525,0.7355720000000001,0.5861188187945136,0.40710156474854636,1.0859740820017794
MIT1003,stimuli,6,detail_retention,1.3783187463034252,0.8929976435817557,0.735054,0.470735267810145,0.4159339118132634,1.061400747505411
MIT1003,stimuli,7,uniform,0.0,0.5,0.5,0.0,0.29992705659469276,1.4257573807664827
MIT1003,stimuli,7,center_prior,1.0836638386137538,0.8070680700400898,0.5229068816884662,0.5001714229059582,0.3915411203967595,1.076222605548287
MIT1003,stimuli,7,gradient_only,0.9098901698972848,0.7625526953862262,0.6805506837098693,0.3603321003997289,0.3868031117552315,1.1048423931865003
MIT1003,stimuli,7,full_awmb,1.1629370474159442,0.8112113739374819,0.6666416468489895,0.4836016777635931,0.40954710310367215,1.0122061664037785
MIT1003,stimuli,7,detail_retention,1.0034355065030323,0.8112115461446264,0.665583011296076,0.4356297952740044,0.42461491837559107,0.9611201091268755
MIT1003,stimuli,8,uniform,0.0,0.5,0.5,0.0,0.3907040108222428,1.124780881025422
MIT1003,stimuli,8,center_prior,1.0809100657797408,0.8076974025892104,0.503776161895968,0.5856500905882709,0.49859156573070534,0.7759584807926264
MIT1003,stimuli,8,gradient_only,0.17677928776527277,0.5556502042730173,0.5279078177900893,0.16010240873441037,0.4106969503967338,1.1315375597162907
MIT1003,stimuli,8,full_awmb,0.5885540174492939,0.6778467507308481,0.530713296398892,0.3718851968355722,0.45597581757098987,0.9147088130933105
MIT1003,stimuli,8,detail_retention,0.49376064493350375,0.6778468383415092,0.5306871345029239,0.32227701660171093,0.45234167327439573,0.918221720583097
MIT1003,stimuli,9,uniform,0.0,0.5,0.5,0.0,0.4061266120719319,1.1416860382148435
