dataset,subset,map,n_images,nss_mean,nss_sem,auc_judd_mean,auc_judd_sem,sauc_mean,sauc_sem,cc_mean,cc_sem,sim_mean,sim_sem,kl_mean,kl_sem
CAT2000,ALL,center_prior,2000,1.2037342509998123,0.004376906157349797,0.8371940077169201,0.0011237329248991342,0.5172188142455248,0.0017609704378327945,0.4913984429254209,0.0016123343096233114,0.4240998325626464,0.0016483150401698252,1.0872451214259131,0.006031802852841802
CAT2000,ALL,detail_retention,2000,0.9654914253984263,0.007092838791331215,0.7773862172529715,0.0014244138398233133,0.5814706497386327,0.001426632728983623,0.38085491305596986,0.002121628023610729,0.45495620876709103,0.0013547641594004111,0.984621749516299,0.004947137048591421
CAT2000,ALL,full_awmb,2000,1.0194767992779776,0.007701122339210328,0.77738622126062,0.0014244137705981001,0.5814921842822237,0.001426374087587627,0.39646532451869154,0.0021829741957260277,0.4346643628368566,0.0013639974004391066,1.053965640881253,0.00503708162955045
CAT2000,ALL,gradient_only,2000,0.7650137125817311,0.008880771628105045,0.713188067870472,0.0018795743140763192,0.5854304035324972,0.0014038313192629044,0.28808944354454846,0.0027881409488858828,0.41823832922790144,0.0015531363317219627,1.6946868723264406,0.034051570602174015
CAT2000,ALL,uniform,2000,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.33497241258215427,0.0014824074988389014,1.47663467312073,0.0069557188970412
CAT2000,Action,center_prior,100,1.1862026228592006,0.018999034804703226,0.8333169246753497,0.004951377391730601,0.5053473411237687,0.007502153740650118,0.459946213707273,0.006689949999046809,0.3948626868308539,0.005801612185572442,1.1833558866342828,0.023224209402997624
CAT2000,Action,detail_retention,100,1.0549826294894802,0.028190860672635258,0.8009814462394017,0.005454846487203039,0.608725815683301,0.0056175690732906385,0.39524328046163854,0.008211737111664128,0.4353818494339708,0.005314862352778103,1.0366691961947196,0.021404246075638296
CAT2000,Action,full_awmb,100,1.1607794855014353,0.03393338312904079,0.8009814528489864,0.005454846452555193,0.6087536842033099,0.005615777857300682,0.4246956340034457,0.008945749991877083,0.41592659568907714,0.00490440026459718,1.1038245982866501,0.019540719928677414
CAT2000,Action,gradient_only,100,0.945410779953392,0.039444429291320665,0.7472761063825706,0.007048115797984343,0.6163869431325351,0.0053883253584431886,0.3348818156776579,0.011285909745509434,0.4161091842484339,0.005498803210771513,1.235577590387261,0.02277524058689224
CAT2000,Action,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.31185610155618537,0.005075797218939279,1.5678968847437402,0.026735496985195274
CAT2000,Affective,center_prior,100,1.1869272966529418,0.02393938260704165,0.8335949807790785,0.0061615918164223404,0.5094706973559623,0.009877556917364843,0.4352151145690099,0.007380971214242306,0.3805153078099353,0.007125545069665171,1.2562928921295584,0.028185429925853704
CAT2000,Affective,detail_retention,100,1.0487833666491146,0.032314087870717136,0.8017507204495656,0.006370790215119766,0.6105192678222411,0.006552876667039789,0.37300559824064167,0.008717064634184717,0.4189345170755576,0.005818412008249929,1.0986041500827572,0.022688534287315706
CAT2000,Affective,full_awmb,100,1.1668700252093474,0.036782783721826806,0.8017507410320849,0.006370788819454004,0.6109402792243724,0.0065487258216562995,0.4051060400576435,0.009144184637518961,0.40000538241151185,0.0057593303333340565,1.1643170337273991,0.022173475990543985
CAT2000,Affective,gradient_only,100,0.9473011737380284,0.041355259337798,0.750696873684318,0.008161110766312488,0.6203771507856117,0.006079766225579971,0.3189623543903085,0.011305939856831995,0.4013771156634074,0.005682559622562753,1.3278547988531233,0.03503991742518548
CAT2000,Affective,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3022906851041349,0.006546061272764242,1.6406231748824696,0.033211322269148864
CAT2000,Art,center_prior,100,1.1836413989490273,0.0183934501937293,0.8325587373323617,0.004626601379247131,0.5054685824324452,0.006822748918386187,0.5044016256114608,0.007468091679437181,0.43253475901305466,0.007699757427796815,1.04756430467877,0.02602882359401735
CAT2000,Art,detail_retention,100,0.9858052693908756,0.034553163655404256,0.7761766362793948,0.0073170357482062725,0.5768322827116197,0.00742008135039887,0.40388693317466545,0.010417859825446612,0.4688104006245738,0.005854946372867526,0.9245107952802099,0.020112443348693797
CAT2000,Art,full_awmb,100,1.0378061696603333,0.037885153852679064,0.776176638160772,0.007317036949907874,0.5767503276833406,0.007417155170033456,0.42141813781132803,0.011160919587893132,0.4470155396012445,0.006354982727802198,1.002894834707254,0.022010507827007385
CAT2000,Art,gradient_only,100,0.8015000048371579,0.04368963151591723,0.7180580417764415,0.009675991755841204,0.585325390753648,0.007308083575974506,0.3163521013924524,0.01400342710265722,0.4394110645810047,0.006667998189213047,1.2515997593455945,0.05305544386236749
CAT2000,Art,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.34106394796986556,0.006808710478718086,1.4308853222381734,0.0297637232713863
